country,date,tot_cases,cumulative_cases,days_elapsed,end_date,end_label
UK,2020-04-10,1320,17137,33,FALSE,NA
China,2020-04-11,6,3379,80,FALSE,NA
France,2020-04-11,636,13835,35,FALSE,NA
Turkey,2020-04-11,95,1101,20,FALSE,NA
UK,2020-04-11,1367,18504,34,FALSE,NA
China,2020-04-12,2,3381,81,FALSE,NA
France,2020-04-12,561,14396,36,FALSE,NA
Turkey,2020-04-12,97,1198,21,FALSE,NA
UK,2020-04-12,1378,19882,35,FALSE,NA
China,2020-04-13,4,3385,82,FALSE,NA
France,2020-04-13,573,14969,37,FALSE,NA
Turkey,2020-04-13,98,1296,22,FALSE,NA
UK,2020-04-13,1234,21116,36,FALSE,NA
China,2020-04-14,2,3387,83,FALSE,NA
France,2020-04-14,743,15712,38,FALSE,NA
Turkey,2020-04-14,107,1403,23,FALSE,NA
UK,2020-04-14,1255,22371,37,FALSE,NA
China,2020-04-15,2,3389,84,FALSE,NA
France,2020-04-15,1438,17150,39,FALSE,NA
Turkey,2020-04-15,115,1518,24,FALSE,NA
UK,2020-04-15,1278,23649,38,FALSE,NA
China,2020-04-16,2,3391,85,FALSE,NA
France,2020-04-16,753,17903,40,FALSE,NA
Turkey,2020-04-16,125,1643,25,FALSE,NA
UK,2020-04-16,1326,24975,39,FALSE,NA
China,2020-04-17,1295,4686,86,FALSE,NA
France,2020-04-17,761,18664,41,FALSE,NA
Turkey,2020-04-17,126,1769,26,FALSE,NA
UK,2020-04-17,1273,26248,40,FALSE,NA
China,2020-04-18,1,4687,87,FALSE,NA
France,2020-04-18,641,19305,42,FALSE,NA
Turkey,2020-04-18,121,1890,27,FALSE,NA
UK,2020-04-18,1194,27442,41,FALSE,NA
China,2020-04-19,0,4687,88,FALSE,NA
France,2020-04-19,389,19694,43,FALSE,NA
Turkey,2020-04-19,127,2017,28,FALSE,NA
UK,2020-04-19,1124,28566,42,FALSE,NA
China,2020-04-20,1,4688,89,FALSE,NA
France,2020-04-20,547,20241,44,FALSE,NA
Turkey,2020-04-20,123,2140,29,FALSE,NA
UK,2020-04-20,1164,29730,43,FALSE,NA
China,2020-04-21,3,4691,90,FALSE,NA
France,2020-04-21,528,20769,45,FALSE,NA
Turkey,2020-04-21,119,2259,30,FALSE,NA
UK,2020-04-21,1085,30815,44,FALSE,NA
China,2020-04-22,1,4692,91,FALSE,NA
France,2020-04-22,544,21313,46,FALSE,NA
Turkey,2020-04-22,117,2376,31,FALSE,NA
UK,2020-04-22,1111,31926,45,FALSE,NA
China,2020-04-23,1,4693,92,FALSE,NA
France,2020-04-23,516,21829,47,FALSE,NA
Turkey,2020-04-23,115,2491,32,FALSE,NA
UK,2020-04-23,1039,32965,46,FALSE,NA
China,2020-04-24,1,4694,93,FALSE,NA
France,2020-04-24,389,22218,48,FALSE,NA
Turkey,2020-04-24,109,2600,33,FALSE,NA
UK,2020-04-24,1013,33978,47,FALSE,NA
China,2020-04-25,1,4695,94,FALSE,NA
France,2020-04-25,369,22587,49,FALSE,NA
Turkey,2020-04-25,106,2706,34,FALSE,NA
UK,2020-04-25,921,34899,48,FALSE,NA
China,2020-04-26,1,4696,95,FALSE,NA
France,2020-04-26,243,22830,50,FALSE,NA
Turkey,2020-04-26,99,2805,35,FALSE,NA
UK,2020-04-26,894,35793,49,FALSE,NA
China,2020-04-27,0,4696,96,FALSE,NA
France,2020-04-27,437,23267,51,FALSE,NA
Turkey,2020-04-27,95,2900,36,FALSE,NA
UK,2020-04-27,869,36662,50,FALSE,NA
China,2020-04-28,1,4697,97,FALSE,NA
France,2020-04-28,367,23634,52,FALSE,NA
Turkey,2020-04-28,92,2992,37,FALSE,NA
UK,2020-04-28,802,37464,51,FALSE,NA
China,2020-04-29,0,4697,98,FALSE,NA
France,2020-04-29,426,24060,53,FALSE,NA
Turkey,2020-04-29,89,3081,38,FALSE,NA
UK,2020-04-29,817,38281,52,FALSE,NA
China,2020-04-30,0,4697,99,FALSE,NA
France,2020-04-30,289,24349,54,FALSE,NA
Turkey,2020-04-30,93,3174,39,FALSE,NA
UK,2020-04-30,781,39062,53,FALSE,NA
China,2020-05-01,1,4698,100,FALSE,NA
France,2020-05-01,217,24566,55,FALSE,NA
Turkey,2020-05-01,84,3258,40,FALSE,NA
UK,2020-05-01,787,39849,54,FALSE,NA
China,2020-05-02,0,4698,101,FALSE,NA
France,2020-05-02,197,24763,56,FALSE,NA
Turkey,2020-05-02,78,3336,41,FALSE,NA
UK,2020-05-02,708,40557,55,FALSE,NA
China,2020-05-03,1,4699,102,FALSE,NA
France,2020-05-03,135,24898,57,FALSE,NA
Turkey,2020-05-03,61,3397,42,FALSE,NA
UK,2020-05-03,663,41220,56,FALSE,NA
China,2020-05-04,0,4699,103,FALSE,NA
France,2020-05-04,306,25204,58,FALSE,NA
Turkey,2020-05-04,64,3461,43,FALSE,NA
UK,2020-05-04,678,41898,57,FALSE,NA
China,2020-05-05,0,4699,104,FALSE,NA
France,2020-05-05,333,25537,59,FALSE,NA
Turkey,2020-05-05,59,3520,44,FALSE,NA
UK,2020-05-05,642,42540,58,FALSE,NA
China,2020-05-06,0,4699,105,FALSE,NA
